UID,Name,Allele0,Allele1,isSecret,baseChance,conditions
extratrees.species.rowan,Common Rowan,extratrees.species.aspen,extratrees.species.alder,false,10.0,
extratrees.species.hazel,Common Hazel,extratrees.species.beech,extratrees.species.aspen,false,10.0,
extratrees.species.hawthorn,Common Hawthorn,extratrees.species.beech,extratrees.species.rowan,false,10.0,
extratrees.species.elder,Elderberry,extratrees.species.alder,extratrees.species.aspen,false,10.0,
extratrees.species.holly,Common Holly,extratrees.species.alder,extratrees.species.rowan,false,10.0,
extratrees.species.sallow,Great Sallow,forestry.treeWillow,extratrees.species.aspen,false,10.0,
extratrees.species.pecan,Pecan,extratrees.species.beech,forestry.treeBirch,false,10.0,
extratrees.species.copperbeech,Copper Beech,extratrees.species.beech,forestry.treeSpruce,false,10.0,
extratrees.species.ash,Common Ash,forestry.treeLime,forestry.treeSpruce,false,10.0,
extratrees.species.whitebeam,Whitebeam,extratrees.species.ash,forestry.treeBirch,false,10.0,
extratrees.species.elm,Common Elm,extratrees.species.ash,forestry.treePine,false,10.0,
extratrees.species.hornbeam,Common Hornbeam,extratrees.species.ash,forestry.treeLarch,false,10.0,
extratrees.species.sycamore,Sycamore Fig,extratrees.species.ash,forestry.treeMaple,false,10.0,
extratrees.species.yew,Common Yew,forestry.treeLarch,forestry.treeSpruce,false,10.0,
extratrees.species.balsamfir,Balsam Fir,forestry.treeLarch,extratrees.species.alder,false,10.0,
extratrees.species.fir,Silver Fir,forestry.treePine,extratrees.species.balsamfir,false,10.0,
extratrees.species.hemlock,Western Hemlock,forestry.treePine,extratrees.species.fir,false,10.0,Minimum height from bedrock of 80.0
extratrees.species.cedar,Great Cedar,extratrees.species.fir,forestry.treeLarch,false,10.0,Minimum height from bedrock of 60.0
extratrees.species.douglasfir,Douglas-fir,extratrees.species.fir,forestry.treeSpruce,false,10.0,Minimum height from bedrock of 60.0
extratrees.species.cypress,Lawson Cypress,forestry.treePine,forestry.treeSpruce,false,10.0,
extratrees.species.loblollypine,Loblolly Pine,forestry.treePine,forestry.treeSpruce,false,10.0,
extratrees.species.butternut,Butternut,forestry.treeWalnut,forestry.treeCherry,false,10.0,
extratrees.species.acornoak,Acorn Oak,forestry.treeWalnut,forestry.treeOak,false,10.0,
extratrees.species.olive,Olive,forestry.treeCherry,extratrees.species.alder,false,10.0,
extratrees.species.redmaple,Red Maple,forestry.treeMaple,forestry.treeLime,false,10.0,
extratrees.species.sweetgum,Sweetgum,forestry.treeMaple,forestry.treeLarch,false,10.0,
extratrees.species.locust,Black Locust,forestry.treeBalsa,forestry.treeLime,false,10.0,
extratrees.species.iroko,Iroko,forestry.treeBalsa,forestry.treeTeak,false,10.0,
extratrees.species.pear,Cultivated Pear,extratrees.species.orchardapple,forestry.treeBirch,false,10.0,
extratrees.species.oldfustic,Old Fustic,forestry.treeEbony,forestry.treeTeak,false,10.0,
extratrees.species.osangeosange,Osange-Orange,extratrees.species.oldfustic,forestry.treeKapok,false,10.0,
extratrees.species.brazilwood,Brazilwood,forestry.treeEbony,forestry.treeTeak,false,10.0,
extratrees.species.purpleheart,Purpleheart,extratrees.species.brazilwood,forestry.treeKapok,false,10.0,
extratrees.species.rosewood,Rosewood,forestry.treeEbony,forestry.treeTeak,false,10.0,
extratrees.species.logwood,Logwood,extratrees.species.rosewood,forestry.treeKapok,false,10.0,
extratrees.species.gingko,Ginkgo,forestry.treeWenge,forestry.treeLime,false,10.0,
extratrees.species.brazilnut,Brazil Nut,extratrees.species.beech,forestry.treeJungle,false,10.0,
extratrees.species.rosegum,Rose Gum,forestry.treeBalsa,forestry.treeJungle,false,10.0,
extratrees.species.swampgum,Swamp Gum,extratrees.species.rosegum,forestry.treeMahogony,false,10.0,
extratrees.species.clove,Clove,extratrees.species.coffee,forestry.treeTeak,false,10.0,
extratrees.species.coffee,Coffee,forestry.treeCherry,forestry.treeJungle,false,10.0,
extratrees.species.box,Boxwood,extratrees.species.holly,extratrees.species.alder,false,10.0,
extratrees.species.monkeypuzzle,Monkey Puzzle,extratrees.species.hemlock,forestry.treeJungle,false,10.0,
extratrees.species.rainbowgum,Rainbow Gum,extratrees.species.rosegum,forestry.treeBalsa,false,10.0,
extratrees.species.pinkivory,Pink Ivory,extratrees.species.rosegum,extratrees.species.brazilwood,false,10.0,
extratrees.species.raspberry,Raspberry,forestry.treeCherry,extratrees.species.elder,false,10.0,
extratrees.species.redcurrant,Redcurrant,forestry.treeCherry,extratrees.species.elder,false,10.0,
extratrees.species.blackcurrant,Blackcurrant,extratrees.species.blackcherry,extratrees.species.redcurrant,false,10.0,
extratrees.species.blackberry,Blackberry,extratrees.species.blackcherry,extratrees.species.raspberry,false,10.0,
extratrees.species.blueberry,Blueberry,extratrees.species.blackberry,extratrees.species.raspberry,false,10.0,
extratrees.species.cranberry,Cranberry,extratrees.species.blackberry,extratrees.species.cherryplum,false,10.0,
extratrees.species.juniper,Juniper,extratrees.species.raspberry,extratrees.species.fir,false,10.0,
extratrees.species.gooseberry,Gooseberry,extratrees.species.raspberry,extratrees.species.lime,false,10.0,
extratrees.species.goldenraspberry,Golden Raspberry,extratrees.species.raspberry,extratrees.species.orange,false,10.0,
extratrees.species.cinnamon,Cinnamon,forestry.treeTeak,extratrees.species.rosewood,false,10.0,
extratrees.species.coconut,Coconut,forestry.treeBalsa,extratrees.species.brazilnut,false,10.0,
extratrees.species.cashew,Cashew,forestry.treeTeak,forestry.treeOak,false,10.0,
extratrees.species.avacado,Avacado,forestry.treeWenge,forestry.treeOak,false,10.0,
extratrees.species.nutmeg,Nutmeg,forestry.treeTeak,extratrees.species.clove,false,10.0,
extratrees.species.allspice,Allspice,forestry.treeTeak,extratrees.species.clove,false,10.0,
extratrees.species.staranise,Star Anise,extratrees.species.allspice,extratrees.species.clove,false,10.0,
extratrees.species.mango,Mango,forestry.treeJungle,extratrees.species.orange,false,10.0,
extratrees.species.starfruit,Starfruit,extratrees.species.staranise,extratrees.species.mango,false,10.0,
extratrees.species.candlenut,Candlenut,extratrees.species.hazel,extratrees.species.gingko,false,10.0,
extratrees.species.chilli,Chilli Pepper,extratrees.species.hazel,extratrees.species.gingko,false,10.0,
extratrees.species.dwarfhazel,Dwarf Hazel,extratrees.species.hazel,extratrees.species.alder,false,10.0,
